OrderID,Date,CustomerID,Product,Quantity,UnitPrice,TotalPrice,PaymentMethod,Clean_CouponCode
ORD200000,1/4/2023,C72649,Monitor,5,570.62,2853.10,Debit Card,SAVE10
ORD200001,8/23/2024,C75739,Phone,2,151.35,302.70,Online,SAVE10
ORD200002,2/27/2024,C81728,Tablet,5,550.68,2753.40,Credit Card,FREESHIP
ORD200003,10/15/2023,C33540,Chair,1,273.19,273.19,Debit Card,SAVE10
ORD200004,5/8/2025,C81840,Printer,4,626.01,2504.04,Online,SAVE10
ORD200005,10/23/2023,C37249,Phone,2,245.86,491.72,Credit Card,SAVE10
ORD200006,6/17/2025,C83492,Laptop,1,664.42,664.42,Gift Card,SAVE10
ORD200007,5/12/2023,C41460,Monitor,5,149.55,747.75,Cash,FREESHIP
ORD200008,4/2/2025,C26817,Phone,2,134.28,268.56,Gift Card,NONE
ORD200009,11/21/2023,C31946,Desk,4,509.38,2037.52,Credit Card,SAVE10
ORD200010,12/29/2023,C43443,Tablet,5,625.97,3129.85,Credit Card,WINTER15
ORD200011,2/17/2024,C93861,Monitor,3,49.14,147.42,Online,SAVE10
ORD200012,10/15/2024,C38785,Monitor,2,180.50,361.00,Debit Card,FREESHIP
ORD200013,8/30/2023,C88348,Laptop,3,201.49,604.47,Credit Card,FREESHIP
ORD200014,3/27/2023,C98474,Tablet,2,393.33,786.66,Debit Card,SAVE10
ORD200015,7/17/2023,C39416,Printer,1,473.96,473.96,Cash,NONE
ORD200016,1/24/2023,C28976,Printer,2,533.81,1067.62,Credit Card,FREESHIP
ORD200017,3/2/2024,C60672,Tablet,1,423.40,423.40,Debit Card,NONE
ORD200018,3/26/2025,C84329,Desk,1,431.44,431.44,Gift Card,SAVE10
ORD200019,1/23/2023,C14552,Monitor,5,224.00,1120.00,Cash,SAVE10
ORD200020,5/8/2023,C54829,Chair,5,62.51,312.55,Cash,WINTER15
ORD200021,11/17/2024,C99023,Monitor,4,342.95,1371.80,Cash,NONE
ORD200022,1/29/2023,C34416,Monitor,2,49.62,99.24,Online,SAVE10
ORD200023,4/9/2025,C42372,Phone,4,273.25,1093.00,Debit Card,FREESHIP
ORD200024,10/30/2024,C17470,Laptop,2,230.95,461.90,Online,WINTER15
ORD200025,7/24/2024,C42577,Monitor,1,399.98,399.98,Debit Card,WINTER15
ORD200026,3/6/2024,C21944,Laptop,5,59.55,297.75,Online,NONE
ORD200027,2/22/2024,C97593,Printer,1,472.74,472.74,Online,WINTER15
ORD200028,11/21/2023,C59823,Phone,4,160.07,640.28,Online,NONE
ORD200029,9/20/2024,C33260,Desk,3,423.53,1270.59,Credit Card,SAVE10
ORD200030,3/22/2025,C44267,Monitor,2,426.70,853.40,Online,SAVE10
ORD200031,6/30/2023,C26445,Chair,3,500.08,1500.24,Debit Card,NONE
ORD200032,5/1/2023,C12388,Tablet,5,536.72,2683.60,Cash,NONE
ORD200033,6/5/2023,C52184,Chair,1,162.77,162.77,Online,WINTER15
ORD200034,1/7/2023,C67195,Chair,4,576.52,2306.08,Credit Card,WINTER15
ORD200035,12/7/2024,C50304,Monitor,2,465.15,930.30,Online,SAVE10
ORD200036,5/8/2025,C59337,Laptop,2,534.43,1068.86,Debit Card,NONE
ORD200037,10/14/2024,C10054,Laptop,2,76.74,153.48,Cash,SAVE10
ORD200038,12/19/2024,C15924,Laptop,1,245.89,245.89,Debit Card,SAVE10
ORD200039,2/27/2025,C96664,Printer,3,256.46,769.38,Credit Card,SAVE10
ORD200040,8/20/2023,C84766,Desk,2,344.02,688.04,Online,FREESHIP
ORD200041,12/5/2023,C20212,Monitor,3,611.45,1834.35,Gift Card,FREESHIP
ORD200042,5/6/2024,C28712,Printer,2,151.66,303.32,Cash,NONE
ORD200043,12/14/2023,C60572,Chair,3,499.21,1497.63,Online,NONE
ORD200044,4/21/2025,C73225,Phone,2,550.18,1100.36,Gift Card,FREESHIP
ORD200045,2/10/2024,C17388,Chair,1,317.25,317.25,Debit Card,SAVE10
ORD200046,6/26/2024,C43212,Monitor,4,550.14,2200.56,Debit Card,FREESHIP
ORD200047,7/19/2023,C38134,Desk,2,209.94,419.88,Credit Card,FREESHIP
ORD200048,8/26/2023,C12408,Monitor,2,80.77,161.54,Debit Card,NONE
ORD200049,10/7/2023,C11985,Printer,1,30.44,30.44,Credit Card,SAVE10
ORD200050,7/31/2023,C96494,Tablet,1,179.22,179.22,Online,FREESHIP
ORD200051,12/30/2024,C36778,Tablet,1,388.33,388.33,Cash,SAVE10
ORD200052,9/8/2024,C30513,Tablet,1,586.44,586.44,Online,SAVE10
ORD200053,5/18/2024,C67551,Phone,4,488.78,1955.12,Online,FREESHIP
ORD200054,3/27/2025,C48120,Chair,1,280.25,280.25,Online,WINTER15
ORD200055,6/24/2025,C95984,Printer,3,344.40,1033.20,Online,NONE
ORD200056,5/21/2023,C54298,Tablet,3,479.21,1437.63,Cash,WINTER15
ORD200057,1/22/2023,C88036,Printer,5,314.27,1571.35,Cash,SAVE10
